date,coin,open,high,low,close,volume,market_cap,source
2025-08-09,BNB,793.1777287850201,793.1777287850201,793.1777287850201,793.1777287850201,1187794735.3928044,110484679476.19675,API
2025-08-10,BNB,799.1991047067497,799.1991047067497,799.1991047067497,799.1991047067497,1105210829.293122,111320129039.5831,API
2025-08-11,BNB,804.8956334719561,804.8956334719561,804.8956334719561,804.8956334719561,1056685905.2138219,112048240703.83403,API
2025-08-12,BNB,806.8312185132748,806.8312185132748,806.8312185132748,806.8312185132748,1821705477.5453286,112362421491.65253,API
2025-08-13,BNB,834.446637547768,834.446637547768,834.446637547768,834.446637547768,1904274487.3355463,116319266615.13809,API
2025-08-14,BNB,849.5528663342336,849.5528663342336,849.5528663342336,849.5528663342336,2344964710.7509003,118308158987.36308,API
2025-08-15,BNB,842.2643191559952,842.2643191559952,842.2643191559952,842.2643191559952,3658447977.417383,117299381415.7054,API
2025-08-16,BNB,827.2916811192079,827.2916811192079,827.2916811192079,827.2916811192079,3425180338.790325,115243392455.31807,API
2025-08-17,BNB,839.0566611983465,839.0566611983465,839.0566611983465,839.0566611983465,1194989933.08169,116636178954.74178,API
2025-08-18,BNB,856.9424560582937,856.9424560582937,856.9424560582937,856.9424560582937,1237130937.218746,119370446719.06827,API
2025-08-19,BNB,848.2298792758197,848.2298792758197,848.2298792758197,848.2298792758197,1704077250.468268,118191079529.68217,API
2025-08-20,BNB,823.4566682430556,823.4566682430556,823.4566682430556,823.4566682430556,1577237801.835062,114695398769.23634,API
2025-08-21,BNB,870.0388548973078,870.0388548973078,870.0388548973078,870.0388548973078,2208912960.725439,121327396964.83464,API
2025-08-22,BNB,838.3671602294102,838.3671602294102,838.3671602294102,838.3671602294102,1808794551.8255882,116703457347.89297,API
2025-08-23,BNB,899.0447590707095,899.0447590707095,899.0447590707095,899.0447590707095,2403982643.652437,125228722775.30713,API
2025-08-24,BNB,880.2145462822662,880.2145462822662,880.2145462822662,880.2145462822662,1414960204.0565426,122601551471.5355,API
2025-08-25,BNB,876.0729413672346,876.0729413672346,876.0729413672346,876.0729413672346,1862920203.9639418,122045654251.52823,API
2025-08-26,BNB,840.2868104582814,840.2868104582814,840.2868104582814,840.2868104582814,1739476008.2601202,117052413550.03337,API
2025-08-27,BNB,864.1213024474413,864.1213024474413,864.1213024474413,864.1213024474413,1565511904.048617,120359854645.80617,API
2025-08-28,BNB,856.0552312979237,856.0552312979237,856.0552312979237,856.0552312979237,1274918054.4266574,119223186511.82414,API
2025-08-29,BNB,874.7487534677291,874.7487534677291,874.7487534677291,874.7487534677291,1665085112.0571768,121754972275.09772,API
2025-08-30,BNB,863.6575485254209,863.6575485254209,863.6575485254209,863.6575485254209,1531055975.6867678,120215499930.77438,API
2025-08-31,BNB,861.923469050824,861.923469050824,861.923469050824,861.923469050824,732100562.508858,119967599893.59285,API
2025-09-01,BNB,857.819601972643,857.819601972643,857.819601972643,857.819601972643,721993472.2873288,119395441256.787,API
2025-09-02,BNB,845.916487927506,845.916487927506,845.916487927506,845.916487927506,1648305723.808358,117730905063.68185,API
2025-09-03,BNB,851.6937445280856,851.6937445280856,851.6937445280856,851.6937445280856,1322521810.3871567,118533105628.61053,API
2025-09-04,BNB,855.1110256828161,855.1110256828161,855.1110256828161,855.1110256828161,859226298.816796,119019289721.41235,API
2025-09-05,BNB,843.6735934362805,843.6735934362805,843.6735934362805,843.6735934362805,916745033.758285,117468538515.54077,API
2025-09-06,BNB,849.7184902459278,849.7184902459278,849.7184902459278,849.7184902459278,987362929.2356554,118277372904.95659,API
2025-09-07,BNB,861.6639369838142,861.6639369838142,861.6639369838142,861.6639369838142,841058634.1628499,120001345335.90672,API
2025-09-08,BNB,881.3845363246559,881.3845363246559,881.3845363246559,881.3845363246559,923155920.7210786,122834289041.01732,API
2025-09-09,BNB,878.2339242329539,878.2339242329539,878.2339242329539,878.2339242329539,1204256444.2143743,122234712958.68347,API
2025-09-10,BNB,879.833817211316,879.833817211316,879.833817211316,879.833817211316,1062899360.6770087,122413962295.55894,API
2025-09-11,BNB,893.578793274879,893.578793274879,893.578793274879,893.578793274879,1801977169.8109913,124408078560.3618,API
2025-09-12,BNB,902.876846974473,902.876846974473,902.876846974473,902.876846974473,1258971255.576734,125610829851.88258,API
2025-09-13,BNB,925.1660418381477,925.1660418381477,925.1660418381477,925.1660418381477,1589605226.0339465,128802515865.21457,API
2025-09-14,BNB,933.8971704994946,933.8971704994946,933.8971704994946,933.8971704994946,1640112370.864308,129905114546.37772,API
2025-09-15,BNB,926.8412817390542,926.8412817390542,926.8412817390542,926.8412817390542,1263377077.0891886,128929854315.27986,API
2025-09-16,BNB,919.2250351484705,919.2250351484705,919.2250351484705,919.2250351484705,1372293507.033996,127942167402.54544,API
2025-09-17,BNB,955.3487499241552,955.3487499241552,955.3487499241552,955.3487499241552,1924151991.340504,132963284625.94852,API
2025-09-18,BNB,991.3973181432295,991.3973181432295,991.3973181432295,991.3973181432295,2455896970.1542788,137968272147.62173,API
2025-09-19,BNB,982.076570691383,982.076570691383,982.076570691383,982.076570691383,2514178578.723519,136761037889.76804,API
2025-09-20,BNB,982.6879738189483,982.6879738189483,982.6879738189483,982.6879738189483,2194041676.02945,136677706976.03806,API
2025-09-21,BNB,1042.406078066426,1042.406078066426,1042.406078066426,1042.406078066426,2616933161.676639,145119356424.55237,API
2025-09-22,BNB,1048.5649851048527,1048.5649851048527,1048.5649851048527,1048.5649851048527,3053430923.1205482,145982985276.6282,API
2025-09-23,BNB,992.3881905006706,992.3881905006706,992.3881905006706,992.3881905006706,3676969354.8492184,138105394316.3322,API
2025-09-24,BNB,1017.4645009307637,1017.4645009307637,1017.4645009307637,1017.4645009307637,2922340144.9194756,141632015383.78027,API
2025-09-25,BNB,1018.067792712729,1018.067792712729,1018.067792712729,1018.067792712729,2488968495.0372467,141670017336.2046,API
2025-09-26,BNB,944.4003758447785,944.4003758447785,944.4003758447785,944.4003758447785,3413861577.3788505,131563762651.00531,API
2025-09-27,BNB,960.6805874196078,960.6805874196078,960.6805874196078,960.6805874196078,2464135246.7217975,133586426744.2321,API
2025-09-28,BNB,968.6806715896132,968.6806715896132,968.6806715896132,968.6806715896132,1580796543.5155156,134835789879.10022,API
2025-09-29,BNB,993.2079048442275,993.2079048442275,993.2079048442275,993.2079048442275,1062584120.7976861,138219349626.7409,API
2025-09-30,BNB,1030.030963111487,1030.030963111487,1030.030963111487,1030.030963111487,2136154304.7482347,143304041034.04755,API
2025-10-01,BNB,1008.9225311714104,1008.9225311714104,1008.9225311714104,1008.9225311714104,1848197871.390849,140376471979.115,API
2025-10-02,BNB,1025.8187850123247,1025.8187850123247,1025.8187850123247,1025.8187850123247,1942259015.308578,142809283859.25217,API
2025-10-03,BNB,1090.3115640663682,1090.3115640663682,1090.3115640663682,1090.3115640663682,2670147496.089171,151723439463.9026,API
2025-10-04,BNB,1190.0540938314145,1190.0540938314145,1190.0540938314145,1190.0540938314145,4899140228.342193,164926971828.80228,API
2025-10-05,BNB,1149.536376093483,1149.536376093483,1149.536376093483,1149.536376093483,1730597418.8329225,160006780977.96976,API
2025-10-06,BNB,1165.4778023162069,1165.4778023162069,1165.4778023162069,1165.4778023162069,2435796155.3750944,162064988745.73065,API
2025-10-07,BNB,1224.574210222444,1224.574210222444,1224.574210222444,1224.574210222444,4284366311.1491776,169960274835.35895,API
2025-10-08,BNB,1311.712914691701,1311.712914691701,1311.712914691701,1311.712914691701,9739890116.464443,182467251280.33548,API
2025-10-09,BNB,1306.4812320510532,1306.4812320510532,1306.4812320510532,1306.4812320510532,5632418876.319237,181269646560.23404,API
2025-10-10,BNB,1255.8786646242372,1255.8786646242372,1255.8786646242372,1255.8786646242372,6718668117.932197,174774998279.26852,API
2025-10-11,BNB,1110.8141755974673,1110.8141755974673,1110.8141755974673,1110.8141755974673,8685141976.344122,155757356924.0352,API
2025-10-12,BNB,1138.1246823442061,1138.1246823442061,1138.1246823442061,1138.1246823442061,6948428633.056303,158484360795.37354,API
